Date,Open,High,Low,Close,Volume,wind_code
2018/5/25,2663.3212,2679.8487,2650.3387,2661.2911,1994220500,000016.SH
2018/5/24,2684.1321,2691.0337,2664.1226,2665.6758,1973268900,000016.SH
2018/5/23,2721.0206,2721.0206,2683.5856,2683.6934,2542659400,000016.SH
2018/5/22,2744.3238,2744.3238,2711.0597,2728.0004,2334029500,000016.SH
2018/5/21,2753.8794,2761.7225,2739.6817,2745.8041,2776658200,000016.SH
2018/5/18,2697.7172,2741.014,2690.9915,2740.5347,2292726700,000016.SH
2018/5/17,2720.7715,2724.39,2698.1711,2700.8768,1674690700,000016.SH
2018/5/16,2739.8948,2744.6179,2714.2644,2716.7818,2180867900,000016.SH
2018/5/15,2760.1979,2760.5682,2731.5668,2750.8309,2252642200,000016.SH
2018/5/14,2736.9752,2761.4948,2736.0351,2753.5353,2706150100,000016.SH
2018/5/11,2737.2278,2738.6456,2720.5471,2724.7162,2348888500,000016.SH
2018/5/10,2727.5158,2738.6293,2712.4744,2729.4001,1960917500,000016.SH
2018/5/9,2723.0859,2725.1955,2706.4814,2717.2393,2026491600,000016.SH
2018/5/8,2683.841,2736.7572,2682.7941,2722.88,3164436400,000016.SH
2018/5/7,2649.0997,2686.221,2638.1682,2683.8487,2660801000,000016.SH
2018/5/4,2659.2724,2669.6982,2643.2567,2646.3548,2076166300,000016.SH
2018/5/3,2643.9661,2671.2449,2626.5404,2663.9752,2622235000,000016.SH
2018/5/2,2662.0787,2667.9624,2637.0612,2652.7311,2665940200,000016.SH
2018/4/27,2672.6362,2675.0958,2613.5267,2653.5436,2837524800,000016.SH
2018/4/26,2712.517,2717.5693,2652.4225,2666.0239,2353313500,000016.SH
2018/4/25,2707.7101,2717.3144,2696.2223,2702.9802,2350129300,000016.SH
2018/4/24,2669.6103,2737.2062,2669.6103,2722.8474,3944528900,000016.SH
2018/4/23,2637.071,2671.0096,2636.6773,2664.9175,2532125100,000016.SH
2018/4/20,2672.3583,2677.9209,2632.7466,2647.3763,2813964700,000016.SH
2018/4/19,2661.3006,2693.1359,2656.1487,2682.5518,2602567700,000016.SH
2018/4/18,2666.6167,2668.7892,2623.9744,2653.7691,3154990300,000016.SH
2018/4/17,2669.2648,2683.4957,2633.5923,2635.7032,2713975100,000016.SH
2018/4/16,2716.5786,2723.5796,2656.52,2664.7045,3674875700,000016.SH
2018/4/13,2765.6697,2771.0319,2724.1662,2726.3956,2175001400,000016.SH
2018/4/12,2785.1209,2785.3072,2747.772,2749.6986,2611214800,000016.SH
2018/4/11,2782.6714,2803.8806,2767.3767,2785.3386,3898881100,000016.SH
2018/4/10,2719.517,2781.2685,2710.8682,2780.8036,3808253500,000016.SH
2018/4/9,2706.3294,2721.5909,2688.8314,2715.7318,2629354900,000016.SH
2018/4/4,2706.4205,2730.2484,2698.8863,2702.3692,2673225800,000016.SH
2018/4/3,2690.6325,2709.9075,2683.048,2697.272,2862816200,000016.SH
2018/4/2,2717.1183,2754.6509,2707.6327,2711.3735,3469871900,000016.SH
2018/3/30,2735.6242,2740.8194,2714.7667,2722.153,3168191800,000016.SH
